Caserta	CTR	18	41.068655	14.328457
Casino Di Terra	DCE	13	43.328581	10.662975
Casletto-Rogeno	OCO	1	45.786028	9.275375
Casorate Sempione	CES	1	45.675075	8.743954
Casoria	ICA	18	40.907762	14.29874
Cassago-Nibionno-Bulciago	NCU	1	45.746243	9.279834
Cassano All`Ionio	OCL	17	39.726326	16.35218
Cassano D`Adda	COD	1	45.514372	9.512746
Cassano Irpino	OCR	18	40.869227	15.031213
Cassine	ACN	3	44.751513	8.533613
Cassino	ZNA	5	41.484306	13.832125
Cassola	ACL	12	45.732291	11.795866
Castagnaro	CRS	12	45.119349	11.403936
Castagneto Carducci	COC	13	43.16816	10.56399
Castagno	YZA	13	44.012359	10.91538
Castagnole Delle Lanze	CDL	3	44.749341	8.152836
Casteggio	CIT	1	45.017365	9.124595
Castel Bagnolo Di Orte	CBD	5	42.400183	12.400781
Castel Di Sangro	CAD	19	41.777829	14.112049
Castel D`Ario	ZLA	1	45.183399	10.97531
Castel Gandolfo	CLF	5	41.746946	12.652266
Castel Lagopesole	YLZ	15	40.787682	15.758093
Castel Madama	CLM	5	41.988389	12.864938
Castel S.Angelo	CSE	5	42.379666	13.017612
Castel S.Giorgio Roccapiemonte	CST	18	40.758713	14.692352
Castel S.Giovanni	CSI	8	45.063272	9.436856
Castel S.Pietro Terme	CSM	8	44.407376	11.597681
Castelbello	CLT	9	46.626994	10.897884
Castelbolognese	CSN	8	44.325391	11.804174
Castelbuono	YNZ	14	38.014606	14.108578
Casteldaccia	CIC	14	38.060474	13.536867
Casteldarne 	CND	9	46.797708	11.844223
Casteldebole	YLA	8	44.503974	11.27456
Castelferretti	CTF	11	43.607303	13.357519
Castelfiorentino	CNF	13	43.60542	10.968048
Castelfranci	CCR	18	40.935968	15.038655
Castelfranco D'Emilia	OEC	8	44.597381	11.056408
Castelfranco Veneto	ECO	12	45.666439	11.934315
Castelguelfo	CFO	8	44.836434	10.176706
Castellalto Canzano	OCA	19	42.69564	13.793043
Castellammare Del Golfo	CDF	14	38.024309	12.912209
Castellammare Di Stabia	CDI	18	40.701398	14.483737
Castellaneta Marina	CAR	16	40.481111	16.965434
Castellazzo Casalcermelli	OAC	3	44.843839	8.589645
Castelleone	YNA	1	45.301826	9.76779
Castelletto Busca	COU	3	44.501319	7.463939
Castelletto Ticino	OCI	3	45.710757	8.638259
Castellina Ch	CAH	13	43.408744	11.212379
Castellina Marittima	CAT	13	43.406122	10.495776
Castellino Tanaro	ACO	3	44.41657	7.974321
Castello Di Godego	DCO	12	45.688082	11.87759
Castello D`Annone	ZOA	3	44.878742	8.312724
Castellucchio	CIH	1	45.144293	10.64749
Castell`Alfero	CRF	3	44.986347	8.220882
Castelmaggiore	CRM	8	44.576055	11.366901
Castelnuovo	CVV	12	45.430843	10.758273
Castelnuovo Belbo	EOC	3	44.798127	8.42516
Castelnuovo Berardenga	ZCB	13	43.306882	11.484912
Castelnuovo Di Garfagnana	DCA	13	44.116351	10.409054
Castelplanio Cupramontana	CUO	11	43.481403	13.084733
Castelraimondo Camerino	YOZ	11	43.210511	13.057274
Castelrosso	SCA	3	45.201802	7.932162
Castelspina Portanova	CAP	3	44.796662	8.62203
Castelvecchio Pascoli	YOA	13	44.09007	10.455061
Castelvetere	CRV	18	40.952072	15.011348
Castelvetrano	ZYY	14	37.684977	12.799552
Castelvetro	CRL	8	45.100095	9.982181
Castiglion Del Lago	DAC	6	43.123195	12.032077
Castiglion Fiorentino	NCI	13	43.34075	11.914362
Castiglioncello	XZZ	13	43.404619	10.414354
Castiglione Cosentino	CEI	17	39.35542	16.244388
Castiglione Di Sicilia	CID	14	37.88674	15.097013
Castiglione In Teverina	CIV	6	42.648544	12.234913
Castione Andevenno	CEA	1	46.161659	9.806151
Castione Dei Marchesi	CDH	8	44.915157	10.044449
Castro-Pofi	COF	5	41.533014	13.410741
Castronno	XZY	1	45.74524	8.810302
Catania Acquicella	CAQ	14	37.492765	15.074699
Catania Centrale	ECA	14	37.506211	15.099417
Catania Ognina	ACG	14	37.534049	15.11261
Catanzaro	CRZ	17	38.896222	16.599081
Catanzaro Lido	OIC	17	38.821788	16.612975
Catenanuova	CVU	14	37.562026	14.688263
Cattolica S.Giovanni Gabicce	CSC	8	43.959931	12.745087
Caulonia	CIU	17	38.343785	16.467278
Cava Carbonara	CAB	1	45.147055	9.071387
Cava Dei Tirreni	DCI	18	40.703662	14.708461
Cava Manara	ZII	1	45.144867	9.115332
Cava Tigozzi	ACI	1	45.156823	9.955827
Cavagnolo Brusasco	ORC	3	45.153655	8.047534
Cavalleggeri Aosta	ICO	18	40.819292	14.185679
Cavallermaggiore	RCA	3	44.708147	7.692108
Cavanella D`Adige	YZI	12	45.111263	12.249312
Cavanella Po	ZNN	12	45.052208	12.134893
Cavaria Oggiona Jerago	COJ	1	45.698145	8.8035
Cavazzale	CLZ	12	45.596079	11.569823
Cavi	CVI	2	44.29354	9.37251
Ca` Di Boschetti	DOC	2	44.117925	9.857449
Ceccano	NCE	5	41.573583	13.336417
Cecchina	CNH	5	41.692029	12.650992
Cecina	NEC	13	43.31028	10.514225
